Date,Aircraft,Category,Total Time,PIC,SIC,Instructor,Dual Received,Night,Act Inst,Sim Inst,X-Country
2018-08-08,UH-60M,Rotorcraft,1.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,1.5
2018-08-09,UH-60M,Rotorcraft,1.2,0.0,1.2,0.0,0.0,0.0,0.0,0.0,1.2
2018-08-20,UH-60M,Rotorcraft,1.1,0.0,1.1,0.0,0.0,0.0,0.0,1.1,1.1
2018-08-23,UH-60M,Rotorcraft,1.7,0.0,1.7,0.0,0.0,0.0,0.0,1.7,1.7
2018-08-24,UH-60M,Rotorcraft,1.2,0.0,1.2,0.0,0.0,0.0,0.0,1.2,1.2
2018-08-27,UH-60M,Rotorcraft,1.5,0.0,1.5,0.0,0.0,0.0,0.0,1.5,1.5
2018-08-28,UH-60M,Rotorcraft,1.1,0.0,1.1,0.0,0.0,0.0,0.0,1.1,1.1
2018-08-29,UH-60M,Rotorcraft,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
2018-09-05,UH-60M,Rotorcraft,1.2,0.0,1.2,0.0,0.0,1.2,0.0,0.0,1.2
2018-09-07,UH-60M,Rotorcraft,1.2,0.0,1.2,0.0,0.0,1.2,0.0,0.0,1.2
2018-09-10,UH-60M,Rotorcraft,1.2,0.0,1.2,0.0,0.0,1.2,0.0,0.0,1.2
2018-09-12,UH-60M,Rotorcraft,1.2,0.0,1.2,0.0,0.0,1.2,0.0,0.0,1.2
2018-09-17,UH-60M,Rotorcraft,1.9,0.0,1.9,0.0,0.0,1.9,0.0,0.0,1.9
2018-09-18,UH-60M,Rotorcraft,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0
2018-09-19,UH-60M,Rotorcraft,2.1,0.0,2.1,0.0,0.0,2.1,0.0,0.0,2.1
2018-09-20,UH-60M,Rotorcraft,1.2,0.0,1.2,0.0,0.0,1.2,0.0,0.0,1.2
2018-09-21,UH-60M,Rotorcraft,1.2,0.0,1.2,0.0,0.0,1.2,0.0,0.0,1.2
2018-09-24,UH-60M,Rotorcraft,1.2,0.0,1.2,0.0,0.0,1.2,0.0,0.0,1.2
2018-09-25,UH-60M,Rotorcraft,1.2,0.0,1.2,0.0,0.0,1.2,0.0,0.0,1.2
2018-09-26,UH-60M,Rotorcraft,0.8,0.0,0.8,0.0,0.0,0.8,0.0,0.0,0.0
2019-03-06,UH-60M,Rotorcraft,1.2,0.0,1.2,0.0,0.0,0.0,0.0,0.0,1.2
2019-03-07,UH-60M,Rotorcraft,3.1,0.0,3.1,0.0,0.0,0.0,0.0,0.0,3.1
2019-03-19,UH-60M,Rotorcraft,3.2,0.0,3.2,0.0,0.0,1.2,0.0,2.0,3.2
2019-03-20,UH-60M,Rotorcraft,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
2019-04-10,UH-60M,Rotorcraft,2.0,0.0,2.0,0.0,0.0,0.2,0.0,1.6,2.0
2019-04-11,UH-60M,Rotorcraft,2.2,0.0,2.2,0.0,0.0,0.0,0.0,1.2,2.2
2019-04-16,UH-60M,Rotorcraft,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0
2019-04-16,UH-60M,Rotorcraft,1.8,0.0,1.8,0.0,0.0,0.0,0.0,0.8,1.8
2019-04-17,UH-60M,Rotorcraft,2.9,0.0,2.9,0.0,0.0,0.0,0.8,1.0,2.9
2019-05-07,UH-60M,Rotorcraft,3.6,0.0,3.6,0.0,0.0,2.0,0.0,0.0,3.6
2019-05-13,UH-60M,Rotorcraft,3.9,0.0,3.9,0.0,0.0,2.4,0.0,0.0,3.9
2019-05-14,UH-60M,Rotorcraft,5.0,0.0,5.0,0.0,0.0,2.1,0.0,1.0,5.0
2019-05-22,UH-60M,Rotorcraft,1.7,0.0,1.7,0.0,0.0,1.7,0.0,0.0,1.7
2019-06-25,UH-60M,Rotorcraft,2.1,0.0,2.1,0.0,0.0,0.0,0.0,0.0,2.1
2019-06-26,UH-60M,Rotorcraft,3.7,0.0,3.7,0.0,0.0,1.0,0.3,0.5,3.7
2019-06-28,UH-60M,Rotorcraft,2.2,0.0,2.2,0.0,0.0,0.0,0.0,0.0,2.2
2019-07-01,UH-60M,Rotorcraft,2.1,0.0,2.1,0.0,0.0,0.0,0.0,0.0,2.1
2019-07-01,UH-60M,Rotorcraft,1.6,1.6,0.0,0.0,0.0,1.6,0.0,0.0,1.6
2019-07-03,UH-60M,Rotorcraft,3.9,0.0,3.9,0.0,0.0,0.0,0.0,0.0,3.9
2019-07-07,UH-60M,Rotorcraft,3.5,0.0,3.5,0.0,0.0,0.0,0.0,0.0,3.5
2019-07-13,UH-60M,Rotorcraft,1.2,0.0,1.2,0.0,0.0,0.0,0.0,0.0,1.2
2019-07-24,UH-60M,Rotorcraft,3.6,0.0,3.6,0.0,0.0,2.0,0.0,0.0,3.6
2019-07-26,UH-60M,Rotorcraft,2.5,0.0,2.5,0.0,0.0,0.0,0.0,0.0,2.5
2019-07-27,UH-60M,Rotorcraft,3.2,0.0,3.2,0.0,0.0,0.0,0.0,0.0,3.2
2019-07-29,UH-60M,Rotorcraft,3.5,0.0,3.5,0.0,0.0,0.0,0.0,0.0,3.5
2019-07-30,UH-60M,Rotorcraft,4.3,0.0,4.3,0.0,0.0,0.0,1.0,0.0,4.3
2019-08-02,UH-60M,Rotorcraft,2.2,0.0,2.2,0.0,0.0,0.0,0.0,0.0,2.2
2019-08-05,UH-60M,Rotorcraft,2.3,0.0,2.3,0.0,0.0,0.0,0.0,0.0,2.3
